time,seconds_elapsed,lux
1655461812567492400,3576.176492431641,620.5
1655461812815923200,3576.424923095703,627.1699829101562
1655461813125921500,3576.7349216308594,547.9124755859375
1655461813385919200,3576.994919189453,492.7762451171875
1655461813795922000,3577.404921875,441.7762451171875
1655461814105921800,3577.714921875,393.7825012207031
1655461815035921200,3578.644921142578,451.42498779296875
1655461815345919500,3578.9549194335937,514.3925170898438
1655461815555920000,3579.164919921875,593.3362426757812
1655461815855921200,3579.464921142578,670.0874633789062
1655461816275923700,3579.884923828125,761.563720703125
1655461817440425200,3581.049425292969,628.7999877929688
1655461817640425500,3581.2494255371093,629.2000122070312
1655461828040431400,3591.6494313964845,628
1655461870726495000,3634.335494873047,631.7000122070312
1655461930886497800,3694.4954978027345,630.7000122070312
1655461991246522400,3754.8555224609377,630.7999877929688
1655461991446536700,3755.055536621094,628.8999633789062
1655462051526531300,3815.13553125,627
1655462111486493400,3875.0954934082033,626.2999877929688
1655462111686500900,3875.2955009765624,625.7999877929688
1655462171566494500,3935.1754943847654,622
1655462171806537500,3935.4155373535154,619.0999755859375
1655462231766513200,3995.3755131835937,627.8999633789062
1655462291966512400,4055.575512451172,628.7999877929688
1655462351906496300,4115.515496337891,626.7999877929688
1655462412146512100,4175.755512207032,631
1655462472086497000,4235.695497070313,626.7999877929688
1655462472286533000,4235.895533203125,623.5999755859375
1655462479446497500,4243.055497558594,469.0999755859375
1655462479646549200,4243.255549316406,591.3999633789062
1655462532326511000,4295.935510986328,618.0999755859375
1655462657886494200,4421.495494140625,616.5999755859375
1655462718046531800,4481.655531738281,616.8999633789062
1655462778166523600,4541.775523681641,617.5
1655462838246502000,4601.855501953125,616
1655462898446557400,4662.055557373047,611.0999755859375
1655462958386493400,4721.995493408203,610.2999877929688
1655462958586500400,4722.195500244141,608.7999877929688
1655462959826495000,4723.435494873047,392.8999938964844
1655462960026500400,4723.6355002441405,234.1999969482422
1655462960226499300,4723.835499267578,383.79998779296875
1655462960426497000,4724.035497070313,585.7000122070312
1655463018506504000,4782.11550390625,612
1655463078586496300,4842.19549633789,612.7999877929688
1655463078786505700,4842.3955056152345,612.7000122070312
1655463138846495500,4902.455495605469,611.0999755859375
1655463198886491400,4962.495491455078,612.2000122070312
1655463350786501000,5114.395501220703,610.8999633789062
1655463350986553900,5114.595553955078,611.0999755859375
1655463410946499000,5174.555499023438,634.7999877929688
1655463428826499300,5192.435499267578,331.1000061035156
1655463429026510600,5192.635510498047,603.5999755859375
1655463435866496500,5199.475496582031,678.2000122070312
1655463436195817000,5199.8048168945315,620.2774658203125
1655463437345810400,5200.954810546875,561.6962280273438
1655463437855810300,5201.464810302735,500.9212341308594
1655463439445724200,5203.054724121093,9.399999618530273
1655463439645725000,5203.254724853516,15.59999942779541
1655463440203294500,5203.812294433594,476.8999938964844
1655463440523295700,5204.132295654297,430.63372802734375
1655463442723290000,5206.332290039062,387.8299865722656
1655463448503290600,5212.112290527344,446.7249755859375
1655463449211918600,5212.820918701172,7.199999809265137
1655463449411916000,5213.020916015625,5.900000095367432
1655463449611916000,5213.220916015625,0
1655463459691921700,5223.300921630859,0
1655463471181166000,5234.790166015625,0
1655463531381162800,5294.9901628417965,0
1655463789381172700,5552.990172851562,0
1655463789581170000,5553.190169921875,0
1655463849701205800,5613.310205810547,0
1655464007661211400,5771.270211425781,2
1655464007861165000,5771.4701650390625,12.699999809265137
1655464008320929300,5771.929929199218,28.399999618530273
1655464008440929500,5772.049929443359,33.54999923706055
1655464008570928600,5772.179928710938,38.1662483215332
1655464008790926000,5772.39992602539,43.65999984741211
1655464010290925600,5773.899925537109,39.2912483215332
1655464012750927600,5776.359927734375,44.02750015258789
1655464015810927400,5779.419927246094,48.94499969482422
1655464016130925600,5779.739925537109,43.58124923706055
1655464016670927000,5780.279927001953,38.69124984741211
1655464019210930200,5782.819930175781,35.09124755859375
1655464020535853600,5784.144853515625,19.399999618530273
1655464020935853000,5784.544853027343,21.399999618530273
1655464021135853300,5784.744853271484,28.099998474121094
1655464028012772900,5791.621772949219,18.69999885559082
1655464028352776700,5791.961776611328,16.25
1655464028452768000,5792.061768066406,13
1655464028552767500,5792.161767578125,10.833749771118164
1655464028682768400,5792.291768310547,9.642499923706055
1655464028782767900,5792.391767822266,8.4375
1655464028960317200,5792.569317138672,0
1655464029160317400,5792.769317382813,0
1655464039600324900,5803.209324951172,0
1655464050898141700,5814.507141601563,10.199999809265137
